,kanji,kanji_with_hiragana,hiragana,meaning,property,example,example_meaning,step1,step2
470,ただ,ただ,ただ,free,Noun,この温泉は<b>ただ</b>です。,This hot spring is free.,3,136
471,入り口,入[い]り 口[ぐち],いりぐち,entrance,Noun,<b>入り口</b>は向こうです。,The entrance is over there.,9,22
472,右手,右手[みぎて],みぎて,right hand,Noun,私は<b>右手</b>で字を書きます。,I write right-handed.,6,107
473,左手,左手[ひだりて],ひだりて,left hand,Noun,彼女は<b>左手</b>で字を書く。,She writes left-handed.,6,194
474,下手,下手[へた],へた,not good at,Adjectival Noun,私は歌が<b>下手</b>だ。,I'm a terrible singer.,10,152
475,これら,これら,これら,these,Noun,今日は<b>これら</b>の問題について話し合います。,We will discuss these issues today.,3,137
476,足りる,足[た]りる,たりる,"be enough, be sufficient",Verb,お金が<b>足りなくて</b>買えなかった。,I couldn't buy it because I didn't have enough money.,6,165
477,足す,足[た]す,たす,"add, supplement<div>(the same kind of thing)</div>",Verb,母は味噌汁に水を<b>足した</b>。,My mother added water to the miso soup.,8,108
478,山,山[やま],やま,mountain,Noun,<b>山</b>の空気はきれいだ。,The mountain air is clean.,10,172
479,川,川[かわ],かわ,"river, stream",Noun,小さな<b>川</b>を渡りました。,I crossed a stream.,5,11
480,いずれ,いずれ,いずれ,"eventually, sometime",Adverb,<b>いずれ</b>またお会いしましょう。,Let's meet again sometime.,3,145
481,空く,空[あ]く,あく,become available or vacant,Verb,後ろの席が<b>空いています</b>。,The rear seat is empty.,7,164
482,空手,空手[からて],からて,"karate, empty hand",Noun,彼は<b>空手</b>を習っています。,He's learning karate.,10,41
483,空,空[そら],そら,"sky, weather",Noun,<b>空</b>が真っ青です。,The sky is bright blue.,10,82
484,海外,海外[かいがい],かいがい,"overseas, abroad",Noun,彼は<b>海外</b>での生活が長いです。,He's lived abroad for a long time.,4,132
485,あまり,あまり,あまり,"(not) really, (not) very",Adverb,このビールは<b>あまり</b>美味しくありません。,This beer isn't very good.,3,166
486,海,海[うみ],うみ,"sea, ocean",Noun,<b>海</b>は広くて大きい。,The sea is vast and wide.,4,137
487,毎日,毎日[まいにち],まいにち,every day,Noun,私たちは<b>毎日</b>散歩をします。,We go for a walk every day.,4,166
488,毎年,毎年[まいとし],まいとし,every year (less formal),Noun,私は<b>毎年</b>、海外旅行に行きます。,I travel abroad every year.,5,161
489,毎年,毎年[まいねん],まいねん,every year (more formal),Noun,<b>毎年</b>給料が上がる。,My salary goes up every year.,6,22
490,なお,なお,なお,"still, in addition",Adverb,<b>なお</b>、雨の場合は中止です。,"Moreover, it will be canceled in the event of rain.",3,174
491,毎週,毎週[まいしゅう],まいしゅう,every week,Noun,私は<b>毎週</b>母に電話をします。,I call my mother every week.,6,197
492,毎月,毎月[まいつき],まいつき,every month,Noun,私は<b>毎月</b>貯金をしています。,I save money every month.,10,157
493,石,石[いし],いし,"stone, small rock",Noun,私は<b>石</b>につまづいた。,I tripped on a stone.,6,20
494,田んぼ,田[た]んぼ,たんぼ,rice field,Noun,この辺は<b>田んぼ</b>がたくさんあります。,There are a lot of rice fields around here.,8,36
495,ほぼ,ほぼ,ほぼ,"roughly, nearly",Adverb,仕事が<b>ほぼ</b>終わりました。,My work is almost finished.,3,189
496,花,花[はな],はな,flower,Noun,きれいな<b>花</b>が咲きました。,Beautiful flowers have bloomed.,4,170
497,林,林[はやし],はやし,"woods, grove",Noun,私たちは<b>林</b>の中に入っていった。,We entered the woods.,7,23
498,森,森[もり],もり,"thick woods, forest",Noun,私は<b>森</b>を歩くのが好きです。,I like to walk in the forest.,5,197
499,子,子[こ],こ,"child, kid",Noun,その<b>子</b>は日本語が分からない。,That kid doesn't understand Japanese.,4,90
500,サービス,サービス,サービス,"service, on the house",Verbal Noun,この店は<b>サービス</b>がいい。,The service in this store is good.,4,9
501,女の子,女[おんな]の 子[こ],おんなのこ,"girl, baby girl",Noun,あの<b>女の子</b>を知っていますか。,Do you know that girl?,5,165
502,男の子,男[おとこ]の 子[こ],おとこのこ,"boy, baby boy",Noun,<b>男の子</b>たちがサッカーをしている。,The boys are playing soccer.,6,111
503,私たち,私[わたし]たち,わたしたち,we,Noun,<b>私たち</b>は来月結婚します。,We will get married next month.,5,42
504,達する,達[たっ]する,たっする,"attain, reach",Verb,気温は35度に<b>達した</b>。,The temperature reached 35 degrees.,4,15
505,グループ,グループ,グループ,group,Noun,店に学生の<b>グループ</b>が来た。,A group of students came to the shop.,4,40
506,家,家[いえ],いえ,"house, home",Noun,ここが私の<b>家</b>です。,This is my house.,3,61
507,家内,家内[かない],かない,my wife,Noun,<b>家内</b>は九州出身です。,My wife is from Kyushu.,8,164
508,客,客[きゃく],きゃく,"visitor, customer",Noun,その店は若い<b>客</b>が多いです。,That shop has a lot of young customers.,10,46
509,空気,空気[くうき],くうき,"air, atmosphere",Noun,ここは<b>空気</b>がきれいです。,The air here is clean.,4,115
510,ホテル,ホテル,ホテル,hotel,Noun,今<b>ホテル</b>に着きました。,I arrived at the hotel just now.,4,51
511,気に入る,気[き]に 入[い]る,きにいる,"like, be pleased with",Verb,新しい靴がとても<b>気に入りました</b>。,I really like my new shoes.,7,69
512,人気,人気[にんき],にんき,popularity,Noun,このバンドはとても<b>人気</b>があるよ。,That band is very popular.,10,114
513,雨,雨[あめ],あめ,rain,Noun,<b>雨</b>が降っています。,It's raining.,4,168
514,雪,雪[ゆき],ゆき,"snow, snowfall",Noun,クリスマスに<b>雪</b>が降りました。,It snowed at Christmas.,4,192
515,まとめる,まとめる,まとめる,"gather together, summarize",Verb,彼女は荷物を<b>まとめて</b>出て行った。,She packed her luggage and left.,4,68
516,青い,青[あお]い,あおい,blue,Adjective,ここの海はとても<b>青い</b>。,The sea here is very blue.,6,74
517,青,青[あお],あお,"blue, green, green light",Noun,私の好きな色は<b>青</b>です。,My favorite color is blue.,6,169
518,晴れ,晴[は]れ,はれ,"fine weather, clear sky",Noun,明日の天気は<b>晴れ</b>です。,Tomorrow's weather will be sunny.,9,17
519,明らか,明[あき]らか,あきらか,"clear, obvious",Adjective,<b>明らか</b>に彼が悪い。,It's clearly his fault.,3,74
520,やはり,やはり,やはり,"as expected, also, still",Adverb,彼は<b>やはり</b>遅刻しました。,"He was late, as expected.",4,97
521,明るい,明[あか]るい,あかるい,"bright, cheerful",Adjective,彼女は<b>明るい</b>性格です。,She has a cheerful personality.,5,46
522,明日,明日[あした],あした,tomorrow,Noun,<b>明日</b>、会社を休みます。,I'm off work tomorrow.,9,91
523,暗い,暗[くら]い,くらい,"dark, dreary, shadowy",Adjective,東の空が<b>暗い</b>です。,The eastern sky is dark.,5,167
524,昨年,昨年[さくねん],さくねん,last year (polite),Noun,<b>昨年</b>は地震が多い年でした。,Last year there were a lot of earthquakes.,3,16
525,はっきり,はっきり,はっきり,"clearly, distinctly",Adverb,今日は山が<b>はっきり</b>見える。,You can see the mountains clearly today.,4,102
526,一昨年,一昨年[おととし],おととし,the year before last,Noun,<b>一昨年</b>初めて京都へ旅行しました。,I first traveled to Kyoto the year before last.,6,51
527,一昨日,一昨日[おととい],おととい,day before yesterday,Noun,<b>一昨日</b>彼から電話がありました。,There was a phone call from him the day before yesterday.,9,168
528,東,東[ひがし],ひがし,"east, eastern",Noun,<b>東</b>の空が暗いです。,The eastern sky is dark.,9,120
529,西,西[にし],にし,"west, western",Noun,太陽は<b>西</b>に沈みます。,The sun sets in the west.,9,153
530,つまり,つまり,つまり,"in short, basically",Adverb,<b>つまり</b>、あなたは何も知らないのですね。,"So, basically, you don't know anything.",4,103
531,南,南[みなみ],みなみ,south,Noun,私の家は町の<b>南</b>にあります。,My house is in the south of the town.,10,165
532,北,北[きた],きた,north,Noun,ロシアは日本の<b>北</b>にあります。,Russia is north of Japan.,5,123
533,方向,方向[ほうこう],ほうこう,"direction, course",Noun,あの人たちは皆、同じ<b>方向</b>を見ている。,Those people are all looking in the same direction.,3,155
534,向かう,向[む]かう,むかう,"face, head toward, confront",Verb,今、会社に<b>向かっています</b>。,I'm heading for the office right now.,4,36
535,ビル,ビル,ビル,building (ローマ字),Noun,私の会社はあの<b>ビル</b>の8階です。,My company's on the eighth floor of that building.,4,123
536,向こう,向[む]こう,むこう,"the other side, the other party, opponent",Noun,友達は<b>向こう</b>にいます。,My friend is over there.,5,169
537,向く,向[む]く,むく,"turn, face, look",Verb,こっちを<b>向いて</b>ください。,Please turn this way.,6,33
538,開く,開[あ]く,あく,open が,Verb,電車のドアが<b>開きました</b>。,The train door opened.,3,13
539,聞こえる,聞[き]こえる,きこえる,"be heard, be audible",Verb,隣の部屋からテレビの音が<b>聞こえる</b>。,I can hear the sound of the television from the next room.,5,60
540,もちろん,もちろん,もちろん,"of course, needless to say",Adverb,<b>もちろん</b>一緒に行きます。,Of course I'll go with you.,4,127
541,年間,年間[ねんかん],ねんかん,period of one year,Noun,<b>年間</b>5万人がここを訪れます。,"This place gets 50,000 visitors a year.",4,65
542,この間,この 間[あいだ],このあいだ,"the other day, recently",Noun,<b>この間</b>彼女に会った。,I met her the other day.,7,192
543,間,間[あいだ],あいだ,"interval, space between",Noun,雲の<b>間</b>から月が出た。,The moon came out from between the clouds.,10,14
544,人間,人間[にんげん],にんげん,"human being, people",Noun,<b>人間</b>の心は複雑です。,Man's mind is complex.,10,115
545,かつて,かつて,かつて,"once, formerly",Adverb,<b>かつて</b>私が学生だった頃のことです。,That was when I was still a student.,4,130
546,高さ,高[たか]さ,たかさ,height,Noun,"富士山の<b>高さ</b>は3,776メートルです。","The height of Mt. Fuji is 3,776m.",5,49
547,最大,最大[さいだい],さいだい,"biggest, largest",Noun,これは世界<b>最大</b>の船です。,This is the world's largest ship.,3,116
548,初めて,初[はじ]めて,はじめて,"first, for the first time",Adverb,東京に来るのは<b>初めて</b>です。,It's the first time I've been to Tokyo.,3,73
549,最初,最初[さいしょ],さいしょ,"the beginning, first",Noun,5ページの<b>最初</b>を見てください。,Please look at the beginning of page 5.,4,3
550,スポーツ,スポーツ,スポーツ,sport,Noun,あなたは何か<b>スポーツ</b>をしていますか。,Which sport do you play?,4,152
551,初め,初[はじ]め,はじめ,"beginning, start",Noun,<b>初め</b>は上手くできませんでした。,I couldn't do it well at first.,10,128
552,今後,今後[こんご],こんご,"after this, in the future (formal)",Noun,<b>今後</b>ともよろしくお願いします。,I look forward to working with you in the future.,3,32
553,後[のち],後[のち],のち,"after, afterwards (formal)",Noun,<b>後[のち]</b>に彼は総理大臣になりました。,He would later become Prime Minister.,3,163
554,最後,最後[さいご],さいご,"last, final",Noun,今日が夏休み<b>最後</b>の日だ。,Today's the last day of summer vacation.,4,49
555,なぜ,なぜ,なぜ,"why, for what reason",Adverb,<b>なぜ</b>来なかったの。,Why didn't you come?,4,154
556,明後日,明後日[あさって],あさって,day after tomorrow,Noun,<b>明後日</b>は休日です。,The day after tomorrow's a holiday.,9,164
557,牛,牛[うし],うし,"cattle, cow",Noun,<b>牛</b>が草を食べています。,The cow is eating grass.,6,77
558,半分,半分[はんぶん],はんぶん,half,Noun,お菓子を友達に<b>半分</b>あげた。,I gave half the sweets to a friend.,4,179
559,半年,半年[はんとし],はんとし,half a year,Noun,日本に来て<b>半年</b>になります。,It has been half a year since I came to Japan.,7,200
560,そのまま,そのまま,そのまま,"like that, unchanged",Adverb,<b>そのまま</b>お待ちください。,Please just wait a bit.,4,158
561,半月,半月[はんつき],はんつき,half a month,Noun,<b>半月</b>前に日本に来ました。,I came to Japan half a month ago.,10,133
562,半日,半日[はんにち],はんにち,half a day,Noun,今日は<b>半日</b>だけ仕事だ。,I'm working only a half-day today.,10,134
563,毎朝,毎朝[まいあさ],まいあさ,every morning,Noun,私は<b>毎朝</b>ジョギングをします。,I jog every morning.,7,154
564,今朝,今朝[けさ],けさ,this morning,Noun,<b>今朝</b>から頭が痛い。,I've had a headache since this morning.,8,73
565,もし,もし,もし,"if, in case of",Adverb,<b>もし</b>雨が降ったら、行きません。,I won't go if it rains.,4,198
566,昼休み,昼休[ひるやす]み,ひるやすみ,"noon recess, lunch break",Noun,<b>昼休み</b>に公園に行った。,I went to the park at lunchtime.,8,148
567,昼前,昼前[ひるまえ],ひるまえ,"in the morning, before noon",Noun,<b>昼前</b>に会議があった。,There was a meeting in the morning.,9,135
568,昼間,昼間[ひるま],ひるま,"daytime, day",Noun,<b>昼間</b>は仕事で忙しいです。,I'm busy with work in the daytime.,9,182
569,毎晩,毎晩[まいばん],まいばん,every evening,Noun,姉は<b>毎晩</b>日記を書いています。,My older sister writes in her diary every evening.,7,168
570,つもり,つもり,つもり,"intention, plan",Noun,明日からタバコを止める<b>つもり</b>です。,I'll stop smoking as of tomorrow.,5,5
571,今夜,今夜[こんや],こんや,"tonight, this evening",Noun,<b>今夜</b>は月がとてもきれいです。,The moon is very beautiful tonight.,8,14
572,昨夜,昨夜[ゆうべ],ゆうべ,"last night, last evening",Noun,<b>昨夜</b>、流れ星を見ました。,I saw some shooting stars last night.,10,175
573,夜中,夜中[よなか],よなか,"midnight, dead of night",Noun,<b>夜中</b>に電話がありました。,I got a telephone call in the middle of the night.,10,183
574,夕方,夕方[ゆうがた],ゆうがた,evening,Noun,<b>夕方</b>そちらに着きます。,I'll arrive there in the evening.,5,106
575,やっと,やっと,やっと,"at last, finally (exclamation)",Adverb,<b>やっと</b>仕事が終わりました。,"Finally, I finished my work.",5,8
576,昼食,昼食[ちゅうしょく],ちゅうしょく,lunch (formal),Noun,<b>昼食</b>に寿司を食べました。,I ate sushi for lunch.,10,93
577,朝食,朝食[ちょうしょく],ちょうしょく,breakfast (formal),Noun,<b>朝食</b>に納豆を食べました。,I ate natto for breakfast.,10,95
578,夕食,夕食[ゆうしょく],ゆうしょく,supper (polite),Noun,<b>夕食</b>は7時です。,Dinner's at seven o'clock.,10,174
579,夕飯,夕飯[ゆうはん],ゆうはん,"evening meal, supper (かたい)",Noun,<b>夕飯</b>は寿司でした。,Dinner was sushi.,9,62
580,ニュース,ニュース,ニュース,news,Noun,夜の<b>ニュース</b>を見ましたか。,Did you see the evening news?,5,23
581,見方,見方[みかた],みかた,"view, way of looking",Noun,彼に対する<b>見方</b>が変わりました。,My view of him has changed.,4,44
582,花見,花見[はなみ],はなみ,cherry blossom viewing,Noun,友達と<b>花見</b>をしました。,I went cherry blossom viewing with a friend.,8,183
583,言い方,言[い]い 方[かた],いいかた,"way of speaking, expression",Noun,そんな<b>言い方</b>をしてはいけません。,You mustn't talk like that.,6,161
584,話,話[はなし],はなし,"talk, story",Noun,あなたの<b>話</b>は面白いね。,Your story's interesting.,3,67
585,ずっと,ずっと,ずっと,"the whole time, from start to finish",Adverb,父は休みの日は<b>ずっと</b>テレビを見ている。,My father spends his days off watching television all the time.,5,27
586,読み,読[よ]み,よみ,"reading, judgment, foresight",Noun,母に<b>読み</b>書きを習いました。,I learned reading and writing from my mother.,7,32
587,読み方,読[よ]み 方[かた],よみかた,"way to read, reading",Noun,この漢字の<b>読み方</b>を教えてください。,Please tell me how to read this Chinese character.,9,20
588,語る,語[かた]る,かたる,"tell (a story), talk about",Verb,今夜は大いに<b>語りましょう</b>。,Let's talk about everything tonight.,3,35
589,言語,言語[げんご],げんご,"language, speech",Noun,彼はアジアの<b>言語</b>を研究している。,He's doing research in Asian languages.,4,71
590,ビデオ,ビデオ,ビデオ,video,Noun,私はその番組を<b>ビデオ</b>に撮った。,I recorded that program on video.,5,32
591,英語,英語[えいご],えいご,English,Noun,あなたは<b>英語</b>が話せますか。,Can you speak English?,4,175
592,文字,文字[もじ],もじ,"character, letter",Noun,壁に<b>文字</b>が書いてあった。,There was some writing on the wall.,4,89
593,ローマ字,ローマ 字[じ],ろーまじ,Roman alphabet,Noun,<b>ローマ字</b>で名前を書いてください。,Please write your name using Roman letters.,9,47
594,字,字[じ],じ,"character, letter, handwriting",Noun,もっと大きく<b>字</b>を書いてください。,Please write the letters larger.,9,194
595,マンション,マンション,マンション,(modern) apartment complex,Noun,彼は<b>マンション</b>に住んでいます。,He lives in an apartment.,5,33
596,書き方,書[か]き 方[かた],かきかた,"how to write, way of writing",Noun,彼はその漢字の<b>書き方</b>が分からない。,He doesn't know how to write that Chinese character.,8,83
597,覚める,覚[さ]める,さめる,"awake, wake up (目が)",Verb,今朝は6時に目が<b>覚めた</b>。,I woke up at six o'clock this morning.,8,147
598,覚ます,覚[さ]ます,さます,"awaken, wake up 目を",Verb,子供が目を<b>覚ました</b>。,The child woke up.,9,8
599,大会,大会[たいかい],たいかい,"mass meeting, tournament",Noun,夏には川辺で花火<b>大会</b>があります。,There are fireworks by the river in summer.,4,109
600,しばらく,しばらく,しばらく,"a short while, long time, for the time being",Adverb,そこで<b>しばらく</b>休んでいます。,He's resting over there for a while.,5,48
601,会話,会話[かいわ],かいわ,conversation,Verbal Noun,親子の<b>会話</b>は大切です。,Conversation between parents and children is important.,7,90
602,話し合う,話[はな]し 合[あ]う,はなしあう,"discuss, talk about",Verb,私たちはよく<b>話し合いました</b>。,We often talked to each other.,4,189
603,合う,合[あ]う,あう,fit,Verb,この靴は私の足に<b>合っている</b>。,These shoes fit me.,4,194
604,間に合う,間[ま]に 合[あ]う,まにあう,"be in time, serve (my) purpose<br>なくても〜 do without",Verb,授業に<b>間に合いました</b>。,I made it in time for class.,6,147
605,ガス,ガス,ガス,gas,Noun,地震で<b>ガス</b>が止まった。,The gas got cut off due to the earthquake.,5,56
606,会社,会社[かいしゃ],かいしゃ,"company, corporation",Noun,彼は小さな<b>会社</b>に勤めています。,He's working for a small business firm.,3,54
607,社会,社会[しゃかい],しゃかい,society,Noun,これは大きな<b>社会</b>問題になっている。,This is a major social issue.,3,86
608,社員,社員[しゃいん],しゃいん,"staff member, employee",Noun,彼は優秀な<b>社員</b>です。,He's an excellent employee.,4,149
609,仕方,仕方[しかた],しかた,"way, method",Noun,ファイルのダウンロードの<b>仕方</b>が分かりません。,I don't know how to download the file.,6,59
610,うまい,うまい,うまい,good at (informal),Adjective,彼は野球が<b>うまい</b>。,He's good at baseball.,5,66
611,食事,食事[しょくじ],しょくじ,"meal, dinner (formal)",Verbal Noun,今日は上司と<b>食事</b>をする。,I'm eating with the boss today.,5,43
612,火事,火事[かじ],かじ,fire (emergency),Noun,<b>火事</b>です。119番に電話してください。,There's a fire. Please call 119.,7,112
613,大事,大事[だいじ],だいじ,important (thing),Adjectival Noun,お体をお<b>大事</b>に。,Take care of yourself.,10,85
614,事故,事故[じこ],じこ,"accident, incident",Noun,彼は<b>事故</b>で怪我をしました。,He was injured in the accident.,3,146
615,サラリーマン,サラリーマン,サラリーマン,"office worker, salaried worker, company employee",Noun,父は<b>サラリーマン</b>です。,My father's a company employee.,5,69
616,工事,工事[こうじ],こうじ,construction work,Verbal Noun,<b>工事</b>の音がうるさい。,The construction site is noisy.,4,165
617,工場,工場[こうじょう],こうじょう,"factory, plant",Noun,彼は食品<b>工場</b>で働いています。,He's working at the food factory.,3,97
618,電話,電話[でんわ],でんわ,"telephone, phone call",Verbal Noun,あとで<b>電話</b>します。,I will call you later.,3,147
619,電気,電気[でんき],でんき,"electricity, electric light",Noun,<b>電気</b>をつけてください。,Please turn on the light.,5,187
620,バス,バス,バス,bus,Noun,<b>バス</b>で行こう。,Let's go by bus.,5,78
621,車,車[くるま],くるま,car,Noun,この道は<b>車</b>が多い。,There are many cars on this road.,4,12
622,駅員,駅員[えきいん],えきいん,station attendant,Noun,<b>駅員</b>に聞きましょう。,Let's ask the station employee.,7,150
623,通り,通[とお]り,とおり,"boulevard, street",Noun,この<b>通り</b>はにぎやかですね。,"This street is lively, isn't it?",5,35
624,通る,通[とお]る,とおる,"pass, take (a road), go through",Verb,毎日、この道を<b>通ります</b>。,I take this road every day.,5,55
625,クラス,クラス,クラス,class (ローマ字),Noun,この学校は1<b>クラス</b>30人です。,In this school there are 30 people per class.,5,93
626,通う,通[かよ]う,かよう,"go (a place) often, go to and from",Verb,私はジムに<b>通っています</b>。,I go to a gym.,5,112
627,交通事故,交通事故[こうつうじこ],こうつうじこ,traffic accident,Noun,彼は<b>交通事故</b>を起こした。,He caused a traffic accident.,6,140
628,水道,水道[すいどう],すいどう,"tap water, water supply",Noun,東京は<b>水道</b>の水が不味い。,Tap water in Tokyo doesn't taste good.,7,47
629,車道,車道[しゃどう],しゃどう,"road, roadway (for vehicles)",Noun,<b>車道</b>の工事が始まりました。,The construction of the roadway started.,10,69
630,トラック,トラック,トラック,"truck, lorry",Noun,<b>トラック</b>を運転できますか。,Can you drive a truck?,5,95
631,道路,道路[どうろ],どうろ,"road, street",Noun,この<b>道路</b>は3年前にできました。,This road was completed three years ago.,4,173
632,土地,土地[とち],とち,land,Noun,ここは父の<b>土地</b>です。,This is my father's land.,3,108
633,地図,地図[ちず],ちず,"map, atlas",Noun,<b>地図</b>を見て来てください。,Please look at the map to get here.,5,162
634,他,他[た],た,"others, other things",Noun,留学生はアジア人が多く、その<b>他</b>は3割です。,"The majority of foreign students are Asian, with 30 percent from other regions.",4,73
635,パーティー,パーティー,パーティー,party,Verbal Noun,明日、うちで<b>パーティー</b>を開きます。,Tomorrow I'm having a party at my house.,5,98
636,止める,止[と]める,とめる,"stop (sth), turn off",Verb,車を<b>止めて</b>。,Stop the car.,8,178
637,止まる,止[と]まる,とまる,"come to a stop, cease",Verb,今朝、事故で電車が<b>止まりました</b>。,The train stopped this morning due to an accident.,9,151
638,止む,止[や]む,やむ,"<!--anki-->cease, stop,&nbsp;let up",Verb,雨が<b>止みました</b>。,The rain stopped.,9,161
639,歩道,歩道[ほどう],ほどう,"sidewalk, footpath",Noun,<b>歩道</b>を歩きましょう。,Let's walk on the pavement.,7,188
640,うまい,うまい,うまい,"delicious, tasty (informal)",Adjective,<b>うまい</b>寿司屋を見つけたよ。,I found a good sushi shop.,5,100
641,渡す,渡[わた]す,わたす,"<!--anki-->hand over, carry across",Verb,彼に手紙を<b>渡しました</b>。,I handed him the letter.,5,151
642,渡る,渡[わた]る,わたる,"cross, ford, go across",Verb,私たちは歩いて橋を<b>渡った</b>。,We walked over the bridge.,6,76
643,年度,年度[ねんど],ねんど,"fiscal year, school year",Noun,売り上げは<b>年度</b>によって違います。,Sales differ by fiscal year.,4,20
644,今度,今度[こんど],こんど,"this time, next time",Noun,<b>今度</b>はどこに行きたいですか。,Where do you want to go this time?,4,159
645,ガラス,ガラス,ガラス,glass (the material),Noun,クリスタル<b>ガラス</b>の花瓶を買いました。,I bought a crystal glass vase.,5,103
646,何度,何度[なんど],なんど,"how many degrees, how many times",Noun,あの店には<b>何度</b>も行きました。,I've been to that shop many times.,6,123
647,最近,最近[さいきん],さいきん,"lately, recent",Noun,それは<b>最近</b>話題の本ですね。,That's the book that people have been talking about lately.,3,31
648,遠く,遠[とお]く,とおく,great distance,Adverb,<b>遠く</b>に船が見えます。,I can see a ship in the distance.,5,179
649,社長,社長[しゃちょう],しゃちょう,president (of a company),Noun,おばは小さな会社の<b>社長</b>です。,My aunt is the president of a small firm.,3,79
650,コース,コース,コース,"course, class, route",Noun,私は日本語<b>コース</b>を取っています。,I'm taking a Japanese course.,5,107
651,会長,会長[かいちょう],かいちょう,"chairman, president",Noun,初めに<b>会長</b>が挨拶した。,First was the chairman's greetings.,3,133
652,長さ,長[なが]さ,ながさ,length,Noun,このケーブルの<b>長さ</b>は1メートルです。,The length of this cable is one meter.,5,92
653,長男,長男[ちょうなん],ちょうなん,eldest son,Noun,彼の<b>長男</b>は8才です。,His oldest son is eight years old.,5,127
654,長女,長女[ちょうじょ],ちょうじょ,eldest daughter,Noun,うちの<b>長女</b>は10歳です。,Our oldest daughter is ten.,10,94
655,アパート,アパート,アパート,"apartment, flat",Noun,彼は<b>アパート</b>に住んでいます。,He lives in an apartment.,5,108
656,広がる,広[ひろ]がる,ひろがる,"spread out, reach が",Verb,留学してから私の世界が<b>広がった</b>。,My world expanded after studying abroad.,3,138
657,広さ,広[ひろ]さ,ひろさ,"area, extent",Noun,その家の<b>広さ</b>はどれぐらいですか。,How big is that house?,7,31
658,全体,全体[ぜんたい],ぜんたい,"whole, total",Noun,<b>全体</b>の80パーセントが完成しました。,80 percent of the total was completed.,3,162
659,全く,全[まった]く,まったく,"entirely, truly, indeed",Adverb,私には<b>全く</b>分かりません。,I don't understand at all.,4,43
660,レコード,レコード,レコード,record,Noun,ジャズの<b>レコード</b>をかけました。,I put on a jazz record.,5,110
661,安全,安全[あんぜん],あんぜん,"safety, security",Adjectival Noun,<b>安全</b>が第一です。,Safety comes first.,4,181
662,一部,一部[いちぶ],いちぶ,part,Noun,計画を<b>一部</b>変更しましょう。,Let's change part of the plan.,3,75
663,部分,部分[ぶぶん],ぶぶん,"part, section",Noun,この<b>部分</b>は問題ないです。,There's no problem with this part.,3,118
664,国内,国内[こくない],こくない,"domestic, internal",Noun,この携帯電話が使えるのは<b>国内</b>だけです。,You can only use this mobile phone domestically.,3,52
665,どんどん,どんどん,どんどん,knock (sound),Adverb,ドアを<b>どんどん</b>とたたいた。,I banged on the door.,5,111
666,全国,全国[ぜんこく],ぜんこく,the whole country,Noun,次は<b>全国</b>のお天気です。,And now for the nation's weather.,3,80
667,外国,外国[がいこく],がいこく,foreign country,Noun,母はまだ<b>外国</b>に行ったことがありません。,My mother hasn't been abroad yet.,3,148
668,国会,国会[こっかい],こっかい,"National Diet, parliament",Noun,<b>国会</b>が再開した。,The Diet reconvened.,3,188
669,帰国,帰国[きこく],きこく,return to one's country,Verbal Noun,彼は<b>帰国</b>しました。,He returned to his country.,4,167
670,カメラ,カメラ,カメラ,camera,Noun,<b>カメラ</b>が壊れた。,The camera broke.,5,118
671,外国人,外国人[がいこくじん],がいこくじん,foreigner (polite),Noun,日本に住む<b>外国人</b>が増えています。,The number of foreigners living in Japan is increasing.,4,172
672,外国語,外国語[がいこくご],がいこくご,foreign language,Noun,<b>外国語</b>を習うのは難しい。,Learning foreign languages is hard.,7,1
673,世界,世界[せかい],せかい,world,Noun,私は<b>世界</b>旅行をしたい。,I want to travel around the world.,3,33
674,白,白[しろ],しろ,white,Noun,<b>白</b>は雪の色です。,White is the color of snow.,10,72
675,テープ,テープ,テープ,"tape, cassette",Noun,彼女はその会話を<b>テープ</b>に録音した。,She recorded the conversation on tape.,5,125
676,黒い,黒[くろ]い,くろい,black<div><br /></div>,Adjective,彼女は<b>黒い</b>ドレスを着ています。,She's wearing a black dress.,5,131
677,黒,黒[くろ],くろ,black,Noun,<b>黒</b>のボールペンはありますか。,Do you have a black pen?,6,100
678,赤ちゃん,赤[あか]ちゃん,あかちゃん,baby,Noun,ベッドで<b>赤ちゃん</b>が眠っています。,The baby's sleeping in the bed.,6,12
679,赤,赤[あか],あか,red,Noun,信号が<b>赤</b>に変わりました。,The traffic light changed to red.,6,108
680,ビール,ビール,ビール,"beer, lager",Noun,夏は<b>ビール</b>がとても美味しい。,Beer tastes really good in summer.,5,145
681,銀行,銀行[ぎんこう],ぎんこう,bank,Noun,<b>銀行</b>は3時まで開いています。,The bank is open until three o'clock.,3,152
682,銀,銀[ぎん],ぎん,silver,Noun,彼は<b>銀</b>メダルを取った。,He got the silver medal.,6,137
683,地下鉄,地下鉄[ちかてつ],ちかてつ,subway,Noun,私は<b>地下鉄</b>で通勤しています。,I commute to work by subway.,6,11
684,牛肉,牛肉[ぎゅうにく],ぎゅうにく,beef,Noun,夕食に<b>牛肉</b>を買った。,I bought beef for dinner.,5,191
685,ページ,ページ,ページ,page,Noun,32<b>ページ</b>を開いてください。,Please open to page 32.,5,148
686,肉,肉[にく],にく,"meat, flesh",Noun,<b>肉</b>が焼けました。,The meat is cooked.,10,112
687,魚,魚[さかな],さかな,fish,Noun,肉と<b>魚</b>とどちらが好きですか。,"Which do you prefer, meat or fish?",9,53
